"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2014-07-01","8.29%","17.85%","73.86%"
"2014-08-01","10.46%","18.46%","71.08%"
"2014-09-01","11.28%","19.34%","69.38%"
"2014-10-01","11.28%","20.75%","67.97%"
"2014-11-01","11.62%","21.45%","66.93%"
"2014-12-01","11.66%","21.79%","66.55%"
"2015-01-01","13.07%","23.22%","63.71%"
"2015-02-01","12.88%","22.91%","64.21%"
"2015-03-01","12.59%","23.13%","64.28%"
"2015-04-01","13.11%","23.06%","63.83%"
"2015-05-01","13.38%","23.41%","63.21%"
"2015-06-01","13.57%","23.72%","62.71%"
"2015-07-01","13.71%","23.97%","62.32%"
"2015-08-01","13.81%","24.72%","61.47%"
"2015-09-01","14.90%","25.59%","59.52%"
"2015-10-01","15.78%","25.69%","58.52%"
"2015-11-01","15.41%","25.79%","58.80%"
"2015-12-01","15.57%","25.85%","58.58%"
"2016-01-01","13.50%","25.34%","61.16%"
"2016-02-01","14.22%","25.25%","60.53%"
"2016-03-01","14.16%","25.69%","60.15%"
"2016-04-01","14.02%","25.74%","60.25%"
"2016-05-01","14.93%","24.85%","60.22%"
"2016-06-01","15.61%","24.93%","59.46%"
"2016-07-01",null,null,null
"2016-08-01","16.20%","26.03%","57.77%"
"2016-09-01","16.63%","27.48%","55.90%"
"2016-10-01","17.64%","27.76%","54.60%"
"2016-11-01","19.02%","27.90%","53.08%"
"2016-12-01","19.18%","28.25%","52.57%"
"2017-01-01","20.87%","29.81%","49.31%"
"2017-02-01","20.38%","30.06%","49.56%"
"2017-03-01","20.64%","30.21%","49.16%"
"2017-04-01","21.05%","29.90%","49.05%"
"2017-05-01","21.66%","30.64%","47.70%"
"2017-06-01","22.37%","31.18%","46.45%"
"2017-07-01","23.48%","30.49%","46.03%"
"2017-08-01","25.20%","29.49%","45.32%"
"2017-09-01","27.95%","28.53%","43.53%"
"2017-10-01","29.55%","28.06%","42.39%"
"2017-11-01","29.56%","28.13%","42.32%"
"2017-12-01","30.25%","27.99%","41.76%"
"2018-01-01","30.76%","27.83%","41.41%"
"2018-02-01","31.34%","27.57%","41.09%"
"2018-03-01","32.62%","26.81%","40.57%"
"2018-04-01","33.76%","25.95%","40.30%"
"2018-05-01","34.70%","25.45%","39.85%"
"2018-06-01","36.19%","25.20%","38.61%"
"2018-07-01","37.40%","24.46%","38.14%"
"2018-08-01","39.33%","22.84%","37.83%"
"2018-09-01","43.19%","21.78%","35.03%"
"2018-10-01","43.68%","21.86%","34.45%"
"2018-11-01","43.92%","22.18%","33.90%"
"2018-12-01","43.34%","22.54%","34.12%"
"2019-01-01","43.17%","22.84%","33.99%"
"2019-02-01","42.37%","22.96%","34.67%"
"2019-03-01","41.91%","22.85%","35.24%"
"2019-04-01","42.49%","22.53%","34.97%"
"2019-05-01","42.82%","22.45%","34.73%"
"2019-06-01","45.07%","22.82%","32.11%"
"2019-07-01","46.74%","22.70%","30.56%"
"2019-08-01","47.35%","23.02%","29.63%"
"2019-09-01","47.13%","23.43%","29.44%"
"2019-10-01","47.27%","23.59%","29.14%"
"2019-11-01","47.87%","23.70%","28.43%"
"2019-12-01","45.09%","24.73%","30.17%"
"2020-01-01",null,null,null
"2020-02-01","42.32%","24.28%","33.41%"
"2020-03-01","41.06%","25.20%","33.74%"
"2020-04-01","40.19%","25.45%","34.36%"
"2020-05-01","40.60%","25.47%","33.94%"
"2020-06-01","40.40%","25.32%","34.28%"
"2020-07-01","40.06%","26.10%","33.84%"
"2020-08-01","41.30%","24.92%","33.79%"
"2020-09-01",null,null,null
"2020-10-01",null,null,null
"2020-11-01","36.59%","26.74%","36.67%"
"2020-12-01","34.65%","27.51%","37.84%"
"2021-01-01","36.69%","26.03%","37.27%"
"2021-02-01","37.47%","25.85%","36.68%"
"2021-03-01","37.27%","25.81%","36.93%"
"2021-04-01","36.30%","25.47%","38.23%"
"2021-05-01","41.77%","24.76%","33.47%"
"2021-06-01","42.21%","25.61%","32.18%"
"2021-07-01","43.16%","25.19%","31.65%"
"2021-08-01","43.84%","25.29%","30.87%"
"2021-09-01","43.84%","25.28%","30.88%"
"2021-10-01","43.34%","25.27%","31.38%"
"2021-11-01","43.68%","25.68%","30.64%"
"2021-12-01","44.03%","26.15%","29.82%"
"2022-01-01","43.28%","26.86%","29.86%"
"2022-02-01","42.76%","27.63%","29.61%"
"2022-03-01","43.10%","27.65%","29.25%"
"2022-04-01","43.15%","27.97%","28.88%"
"2022-05-01","43.52%","28.18%","28.30%"
"2022-06-01","43.49%","28.59%","27.92%"
"2022-07-01","43.46%","28.77%","27.78%"
"2022-08-01","43.77%","28.80%","27.43%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","42.44%","28.43%","29.13%"
"2022-12-01","43.36%","28.13%","28.51%"
"2023-01-01","43.39%","28.62%","27.99%"
"2023-02-01","44.03%","28.27%","27.70%"
"2023-03-01",null,null,null
"2023-04-01","46.80%","29.50%","23.70%"
"2023-05-01","49.88%","25.85%","24.27%"
"2023-06-01","47.67%","27.52%","24.80%"
"2023-07-01","49.34%","27.85%","22.81%"
