"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2017-12-01","65.32%","26.90%","7.78%"
"2018-01-01","65.46%","26.64%","7.89%"
"2018-02-01","65.68%","26.44%","7.88%"
"2018-03-01","65.86%","26.31%","7.83%"
"2018-04-01","66.64%","25.59%","7.78%"
"2018-05-01","66.15%","26.23%","7.63%"
"2018-06-01","68.03%","24.48%","7.49%"
"2018-07-01","68.48%","24.29%","7.23%"
"2018-08-01","68.80%","24.11%","7.10%"
"2018-09-01","69.73%","24.56%","5.72%"
"2018-10-01","70.83%","23.95%","5.21%"
"2018-11-01","72.27%","22.85%","4.88%"
"2018-12-01","71.92%","22.99%","5.09%"
"2019-01-01","70.22%","24.13%","5.65%"
"2019-02-01","69.45%","25.01%","5.53%"
"2019-03-01","71.22%","23.45%","5.33%"
"2019-04-01","71.45%","22.84%","5.71%"
"2019-05-01","71.13%","23.23%","5.64%"
"2019-06-01","72.96%","21.56%","5.48%"
"2019-07-01","74.31%","20.24%","5.44%"
"2019-08-01","76.34%","19.28%","4.37%"
"2019-09-01","77.53%","18.19%","4.28%"
"2019-10-01","76.84%","18.89%","4.27%"
"2019-11-01","76.49%","19.84%","3.66%"
"2019-12-01","73.73%","22.66%","3.61%"
"2020-01-01",null,null,null
"2020-02-01","74.12%","20.35%","5.53%"
"2020-03-01","73.74%","20.62%","5.64%"
"2020-04-01","73.35%","20.69%","5.95%"
"2020-05-01","73.50%","20.51%","5.98%"
"2020-06-01","74.83%","19.65%","5.52%"
"2020-07-01","74.82%","20.20%","4.99%"
"2020-08-01","79.06%","16.61%","4.33%"
"2020-09-01",null,null,null
"2020-10-01",null,null,null
"2020-11-01","80.39%","16.10%","3.52%"
"2020-12-01","78.82%","17.49%","3.69%"
"2021-01-01","80.22%","14.77%","5.02%"
"2021-02-01","80.52%","14.58%","4.90%"
"2021-03-01","81.04%","14.54%","4.42%"
"2021-04-01","80.76%","14.66%","4.58%"
"2021-05-01","81.06%","14.19%","4.75%"
"2021-06-01","80.94%","14.59%","4.47%"
"2021-07-01","82.40%","13.28%","4.32%"
"2021-08-01","83.27%","12.40%","4.33%"
"2021-09-01","82.70%","12.82%","4.48%"
"2021-10-01","81.97%","13.25%","4.78%"
"2021-11-01","82.05%","13.03%","4.92%"
"2021-12-01","82.62%","12.55%","4.83%"
"2022-01-01","82.16%","12.84%","5.00%"
"2022-02-01","82.31%","12.82%","4.87%"
"2022-03-01","81.62%","13.10%","5.28%"
"2022-04-01","81.37%","13.23%","5.40%"
"2022-05-01","81.72%","12.96%","5.33%"
"2022-06-01","82.28%","12.50%","5.21%"
"2022-07-01","82.68%","12.47%","4.85%"
"2022-08-01","82.81%","12.47%","4.72%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","83.73%","11.32%","4.95%"
"2022-12-01","84.47%","11.10%","4.43%"
"2023-01-01","83.97%","11.01%","5.02%"
"2023-02-01","82.99%","11.69%","5.32%"
"2023-03-01",null,null,null
"2023-04-01","85.31%","10.25%","4.44%"
"2023-05-01","86.72%","9.24%","4.04%"
"2023-06-01","81.38%","13.61%","5.02%"
"2023-07-01","84.36%","11.20%","4.44%"
